Subject,Start Date,Start Time,End Date,End Time,Description,Location,All Day Event
Breakfast - Day 1,2026-08-01,07:15,2026-08-01,09:00,Masala Ghee Roast Dosa | Vada Pav | Groundnut Chutney | Mint Chutney | White Bread+Butter+Jam | Sprouts (1 small cup) | Scrambled Egg | Tea | Coffee | Milk,,False
Lunch - Day 1,2026-08-01,12:30,2026-08-01,14:00,Carrot & Cucumber Salad | Pulka | White Rice | Mudda Pappu | Beetroot Tomato Rasam | Pulihora (Tamarind Rice) | Majiga Pulusu | Chole Soya Chunks Curry | Papad | Lemon Water | Avakaya (Mango Pickle),,False
Snacks - Day 1,2026-08-01,16:45,2026-08-01,18:00,Punugulu 10 Pcs Std Size | Groundnut/Coconut Chutney | Ginger Tea | Coffee | Milk,,False
Dinner - Day 1,2026-08-01,19:30,2026-08-01,21:00,"Beetroot & Carrot Salad | Roti | White Rice | Mango Dal | Bachali Kura Pulusu (Malabar Spinach) | Adai Dosa -2 Pcs, Tomato Onion Chutney | Cabbage Beans Poriyal | Tomato Baingan Masala | Thick Curd | Muskmelon Cut Fruit | Red Chilli Pickle | Milk + Cofee Powder",,False
Breakfast - Day 2,2026-08-02,07:15,2026-08-02,09:00,"Shavige Bath | Paneer Paratha - 2 Pcs Thin | Coconut Chutney | Thick Curd, Mango Pickle | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk",,False
Lunch - Day 2,2026-08-02,12:30,2026-08-02,14:00,Beetroot & Cucumber Salad | Chapathi | White Rice | Dal | Sambar | Chicken Dum Biryani/Vegetable Dum Biryani | Chicken Thick Gravy / Hyderabadi Mirchi Ka Salan | Onion Raitha | Fryums | Nannari Sharbath | Fresh Gongura Chutney | Vanilla Ice Cream (Made with Milk),,False
Snacks - Day 2,2026-08-02,16:45,2026-08-02,18:00,Dahi Puri (8 Pcs) | Onions | Masala Tea | Coffee | Milk,,False
Dinner - Day 2,2026-08-02,19:30,2026-08-02,21:00,"Beetroot & Carrot Salad | Pulka | White Rice | Red Lentil Dal | Rasam | Ragi Idly, Groundnut Chutney | Dondakaya Fry | Vegetable Kurma Gravy | Thick Curd | Papaya Cut Fruit | Tomato Pickle | Milk + Cofee Powder",,False
Breakfast - Day 3,2026-08-03,07:15,2026-08-03,09:00,Carrot Idly | Bhature - 2 Pcs Big | Groundnut Chutney | Chole Curry | Brown Bread+Butter+Jam | Sprouts (1 small cup) | Egg Bhurji | Tea | Coffee | Milk,,False
Lunch - Day 3,2026-08-03,12:30,2026-08-03,14:00,"Beetroot & Cucumber Salad | Chapathi | White Rice | Palak Dal | Sambar | Tomato Rice | Pesara Punugulu Curry (Pakka Andhra Style) | Drumstick Tomato Masala | Rava Vadiyalu | Butter Milk | Sorakaya Perugu Chutney, Ghee + Podi | Jilebi",,False
